Timestamp,How often did you pay close attention during lab sessions?,"How many times did you come into the lab outside of class to practice techniques? (specifically, the instances were class was dismissed and you stayed to work on techniques, or if you came in at your own times)  ",How confident were you in your lab techniques before the practical?  , How anxious were you about the lab practical?  ,  How many hours per week did you study or review lab materials?  ,Helpfulness in Studying: Lab Manual,Helpfulness in Studying: Quizlet,Helpfulness in Studying: Lab Slides,Helpfulness in Studying: ELNs,Helpfulness in Studying: ChatGPT,"Do you or have you worked or volunteered in a lab setting outside of MCB3023L, where you use techniques you have learned in MCB3032L?",What grade did you receive on the lab practical?,Do you confirm that you wish to take this survey? 
4/8/2025 14:41:41,most of the time,0 times,5,3,less than 1 hour,3,1,4,5,1,yes,A (90-100),
4/8/2025 16:32:54,most of the time,2-3 times,5,2,1-2 hours,1,1,2,1,1,yes,D (60-69),
4/8/2025 18:48:39,most of the time,2-3 times,4,2,1-2 hours,3,1,5,5,4,yes,B (80-89),
4/10/2025 13:53:33,most of the time,2-3 times,3,3,less than 1 hour,2,2,5,4,1,yes,B (80-89),
4/10/2025 18:09:21,most of the time,2-3 times,3,5,less than 1 hour,2,1,3,4,4,yes,B (80-89),
4/10/2025 19:34:35,always,1 time,4,5,3-4 hours,4,1,5,4,1,yes,B (80-89),
4/10/2025 19:34:38,always,2-3 times,4,5,3-4 hours,1,5,5,5,3,yes,C (70-79),
4/10/2025 19:35:53,always,0 times,5,2,less than 1 hour,1,1,2,1,5,yes,D (60-69),
4/10/2025 19:36:44,most of the time,1 time,5,2,less than 1 hour,4,1,4,1,4,no,A (90-100),
4/10/2025 19:38:16,sometimes,1 time,3,4,1-2 hours,3,1,3,2,1,no,B (80-89),
4/10/2025 19:50:58,always,1 time,4,5,less than 1 hour,3,2,5,4,5,no,B (80-89),
4/10/2025 20:43:03,most of the time,0 times,5,5,1-2 hours,5,5,4,5,3,yes,A (90-100),
4/10/2025 22:37:15,most of the time,0 times,4,4,less than 1 hour,1,2,5,3,1,yes,A (90-100),
4/11/2025 1:05:19,sometimes,2-3 times,5,3,less than 1 hour,2,1,3,1,5,yes,A (90-100),
4/11/2025 11:18:29,always,1 time,4,2,1-2 hours,4,1,4,3,1,no,A (90-100),
4/11/2025 13:45:40,most of the time,1 time,3,5,1-2 hours,3,4,5,4,5,no,B (80-89),
4/11/2025 16:14:32,most of the time,1 time,4,5,3-4 hours,5,3,4,4,5,no,B (80-89),
4/12/2025 15:42:01,most of the time,1 time,4,4,less than 1 hour,3,2,5,2,3,no,A (90-100),
4/13/2025 22:58:11,most of the time,0 times,4,5,1-2 hours,1,1,5,2,1,no,C (70-79),
4/15/2025 15:06:46,most of the time,2-3 times,3,5,3-4 hours,5,3,2,2,3,no,F (<60),Yes
4/15/2025 15:09:35,always,0 times,5,4,3-4 hours,1,3,5,2,1,yes,B (80-89),Yes
4/17/2025 12:01:50,most of the time,0 times,3,5,1-2 hours,4,4,2,2,3,yes,B (80-89),Yes
4/17/2025 12:02:14,most of the time,0 times,3,4,3-4 hours,3,1,1,3,1,yes,C (70-79),Yes
4/17/2025 12:02:17,sometimes,0 times,3,3,3-4 hours,5,2,3,5,5,no,B (80-89),Yes
4/17/2025 12:02:27,most of the time,0 times,5,4,3-4 hours,4,2,2,5,4,yes,A (90-100),Yes
4/17/2025 12:02:27,most of the time,0 times,4,5,less than 1 hour,4,4,2,4,5,no,B (80-89),Yes
4/17/2025 12:02:29,most of the time,1 time,4,4,1-2 hours,5,1,1,4,1,no,A (90-100),Yes
4/17/2025 12:02:31,most of the time,0 times,4,4,1-2 hours,5,3,1,4,,yes,A (90-100),Yes
4/17/2025 12:02:33,most of the time,0 times,3,3,1-2 hours,2,3,3,3,4,no,B (80-89),Yes
4/17/2025 12:02:32,sometimes,1 time,2,4,less than 1 hour,3,3,3,4,5,no,D (60-69),Yes
4/17/2025 12:02:35,most of the time,0 times,4,4,less than 1 hour,3,3,4,4,1,no,C (70-79),Yes
4/17/2025 12:02:36,most of the time,0 times,2,4,less than 1 hour,3,3,3,4,3,no,D (60-69),Yes
4/17/2025 12:02:36,always,1 time,4,2,1-2 hours,5,3,3,5,1,no,A (90-100),Yes
4/17/2025 12:02:47,most of the time,0 times,4,2,less than 1 hour,1,1,4,2,4,no,B (80-89),Yes
4/17/2025 12:02:47,always,0 times,3,5,less than 1 hour,5,1,1,5,1,yes,C (70-79),Yes
4/17/2025 12:02:49,always,1 time,4,5,3-4 hours,4,1,4,1,2,no,B (80-89),Yes
4/17/2025 12:02:52,most of the time,0 times,4,5,3-4 hours,4,4,5,4,5,yes,C (70-79),Yes
4/17/2025 12:02:54,most of the time,0 times,4,5,1-2 hours,4,3,2,5,1,no,B (80-89),Yes
4/17/2025 12:02:56,most of the time,0 times,3,3,less than 1 hour,5,1,1,3,1,yes,A (90-100),Yes
4/17/2025 12:03:04,most of the time,1 time,4,4,1-2 hours,1,2,4,3,4,no,B (80-89),Yes
4/17/2025 12:03:06,most of the time,0 times,4,3,1-2 hours,1,3,4,5,1,no,C (70-79),Yes
4/17/2025 12:03:07,sometimes,2-3 times,3,3,1-2 hours,3,2,2,2,3,yes,B (80-89),Yes
4/17/2025 12:03:12,always,1 time,4,3,3-4 hours,3,1,1,3,2,yes,Prefer not to say,Yes
4/17/2025 12:03:26,most of the time,0 times,4,2,less than 1 hour,1,3,3,4,2,yes,A (90-100),Yes
4/17/2025 12:03:39,always,0 times,5,1,1-2 hours,2,1,3,3,4,no,A (90-100),Yes
4/17/2025 12:03:52,most of the time,0 times,4,3,less than 1 hour,2,2,2,5,3,no,B (80-89),Yes
4/17/2025 12:04:02,most of the time,1 time,4,3,1-2 hours,2,2,4,5,3,yes,A (90-100),Yes
4/17/2025 15:07:51,sometimes,0 times,3,3,1-2 hours,2,4,3,2,1,yes,A (90-100),Yes
4/17/2025 15:31:30,always,6+ times,4,4,1-2 hours,4,5,5,5,1,yes,C (70-79),Yes
4/17/2025 15:32:38,always,0 times,4,4,less than 1 hour,3,3,4,4,2,yes,C (70-79),Yes
4/17/2025 15:32:50,most of the time,0 times,4,4,less than 1 hour,5,3,5,3,4,yes,B (80-89),Yes
4/17/2025 15:33:39,sometimes,0 times,4,5,3-4 hours,5,4,5,2,2,yes,C (70-79),Yes
4/17/2025 15:33:45,most of the time,0 times,3,4,3-4 hours,4,5,5,3,2,yes,B (80-89),Yes
4/17/2025 15:33:47,always,0 times,4,3,less than 1 hour,1,1,3,2,5,no,C (70-79),Yes
4/17/2025 15:34:13,always,6+ times,4,2,1-2 hours,2,1,5,5,4,yes,B (80-89),Yes
4/17/2025 15:34:41,most of the time,1 time,2,4,3-4 hours,1,3,4,1,4,no,C (70-79),Yes
4/17/2025 15:34:54,most of the time,1 time,3,3,1-2 hours,2,5,4,5,5,no,B (80-89),Yes
4/17/2025 15:35:02,most of the time,0 times,5,4,1-2 hours,5,2,5,3,1,yes,A (90-100),Yes
4/17/2025 15:35:19,sometimes,0 times,4,2,3-4 hours,2,1,4,2,4,yes,B (80-89),Yes
4/17/2025 15:35:19,sometimes,0 times,3,4,less than 1 hour,5,2,4,3,5,no,B (80-89),Yes
4/17/2025 17:12:47,most of the time,6+ times,4,5,3-4 hours,2,1,5,5,1,no,C (70-79),Yes
4/17/2025 17:23:51,always,0 times,5,2,less than 1 hour,5,1,1,2,1,yes,A (90-100),Yes
4/17/2025 17:24:04,sometimes,0 times,4,2,less than 1 hour,3,1,1,5,1,no,A (90-100),Yes
4/17/2025 17:24:10,most of the time,0 times,4,5,1-2 hours,4,2,5,5,5,no,D (60-69),Yes
4/17/2025 17:24:15,always,0 times,3,4,3-4 hours,5,,3,5,,yes,B (80-89),Yes
4/17/2025 17:24:17,always,2-3 times,5,2,1-2 hours,1,1,1,5,3,yes,Prefer not to say,Yes
4/17/2025 17:24:22,most of the time,0 times,5,3,less than 1 hour,2,1,4,4,1,no,Prefer not to say,Yes
4/17/2025 17:24:22,most of the time,0 times,1,4,1-2 hours,1,1,1,5,3,no,Prefer not to say,Yes
4/17/2025 17:24:23,most of the time,1 time,4,4,1-2 hours,4,3,2,3,1,no,B (80-89),Yes
4/17/2025 17:24:24,most of the time,0 times,5,1,less than 1 hour,3,3,4,5,3,yes,A (90-100),Yes
4/17/2025 17:24:24,most of the time,0 times,3,3,1-2 hours,3,4,1,4,1,no,Prefer not to say,Yes
4/17/2025 17:24:27,most of the time,0 times,4,4,less than 1 hour,5,1,2,5,1,no,B (80-89),Yes
4/17/2025 17:24:33,always,2-3 times,5,2,less than 1 hour,3,1,1,4,1,no,A (90-100),Yes
4/17/2025 17:24:40,most of the time,0 times,3,2,less than 1 hour,4,1,,2,1,yes,C (70-79),Yes
4/17/2025 17:24:47,most of the time,0 times,4,5,3-4 hours,,,,5,,yes,C (70-79),Yes
4/17/2025 17:24:53,always,1 time,2,5,1-2 hours,2,1,3,5,1,yes,Prefer not to say,Yes
4/17/2025 17:24:57,always,0 times,5,3,less than 1 hour,5,1,1,1,1,no,B (80-89),Yes
4/17/2025 17:25:03,always,0 times,3,3,3-4 hours,3,3,2,2,3,no,F (<60),Yes
4/17/2025 17:25:30,always,1 time,4,4,1-2 hours,2,2,2,5,1,no,A (90-100),Yes
4/17/2025 17:26:17,sometimes,0 times,4,3,less than 1 hour,2,2,2,4,3,no,D (60-69),Yes
4/17/2025 17:26:27,most of the time,0 times,4,2,3-4 hours,2,2,2,5,4,yes,D (60-69),Yes
4/17/2025 17:26:45,always,0 times,3,5,1-2 hours,3,2,3,3,4,no,B (80-89),Yes
